PARCELLA;THK;TNOV_NEV;TNOV_TERM;ELV_PILL;ELV_EVPILL;ELV_LUC2EV;ELV_KUKN_K;ELV_KUKNR_N;SZ_KUK_T;SZ_NPF_T;SZ_GAB_T;SZ_KUK;SZ_NPF;SZ_GAB;IST_M;IST_N1;IST_P1;IST_K1;IST_N2;IST_P2;IST_K2;KAR_N;KAR_P;KAR_K;KAR_SZ;PENT_N;PENT_SZA;ONT_SZ;NITRAT_ERZ
33;2;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
34;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
35;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
36;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
37;2;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
38;2;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
39;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
40;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
41;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
42;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
44;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
45;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
46;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
47;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
48;2;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
49;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
50;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
53;2;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
55;2;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
56;2;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
57;2;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
59;2;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
63;3;õszi búza;6;30;50;30;25;30;8;3;5;5;20;10;30;18;20;40;12;15;20;100;80;250;25;30;2;15;1
