NOV;MAKROELEM;THK;MINOSITES;FAJLAGOS
õszi búza;Nitrogen;1;igen gyenge;3,3
õszi búza;Nitrogen;1;gyenge;3
õszi búza;Nitrogen;1;közepes;2,7
õszi búza;Nitrogen;1;jó;2
õszi búza;Nitrogen;1;igen jó;1
õszi búza;Nitrogen;2;igen gyenge;3,3
õszi búza;Nitrogen;2;gyenge;3,1
õszi búza;Nitrogen;2;közepes;2,8
õszi búza;Nitrogen;2;jó;2,3
õszi búza;Nitrogen;2;igen jó;1,2
õszi búza;Nitrogen;3;igen gyenge;3,3
õszi búza;Nitrogen;3;gyenge;3,1
õszi búza;Nitrogen;3;közepes;2,85
õszi búza;Nitrogen;3;jó;2,5
õszi búza;Nitrogen;3;igen jó;1,2
õszi búza;Nitrogen;4;igen gyenge;3,6
õszi búza;Nitrogen;4;gyenge;3,3
õszi búza;Nitrogen;4;közepes;3
õszi búza;Nitrogen;4;jó;2,7
õszi búza;Nitrogen;4;igen jó;1,5
õszi búza;Nitrogen;5;igen gyenge;3,4
õszi búza;Nitrogen;5;gyenge;3,2
õszi búza;Nitrogen;5;közepes;2,9
õszi búza;Nitrogen;5;jó;2,5
õszi búza;Nitrogen;5;igen jó;1,3
õszi búza;Nitrogen;6;igen gyenge;3,6
õszi búza;Nitrogen;6;gyenge;3,3
õszi búza;Nitrogen;6;közepes;3
õszi búza;Nitrogen;6;jó;2,7
õszi búza;Nitrogen;6;igen jó;1,5
õszi búza;Foszfor;1;igen gyenge;2,7
õszi búza;Foszfor;1;gyenge;2,3
õszi búza;Foszfor;1;közepes;1,9
õszi búza;Foszfor;1;jó;1,4
õszi búza;Foszfor;1;igen jó;0,6
õszi búza;Foszfor;2;igen gyenge;3
õszi búza;Foszfor;2;gyenge;2,5
õszi búza;Foszfor;2;közepes;2
õszi búza;Foszfor;2;jó;1,5
õszi búza;Foszfor;2;igen jó;0,7
õszi búza;Foszfor;3;igen gyenge;3
õszi búza;Foszfor;3;gyenge;2,6
õszi búza;Foszfor;3;közepes;2,2
õszi búza;Foszfor;3;jó;1,7
õszi búza;Foszfor;3;igen jó;0,7
õszi búza;Foszfor;4;igen gyenge;3,2
õszi búza;Foszfor;4;gyenge;2,8
õszi búza;Foszfor;4;közepes;2,3
õszi búza;Foszfor;4;jó;1,6
õszi búza;Foszfor;4;igen jó;0,5
õszi búza;Foszfor;5;igen gyenge;2,9
õszi búza;Foszfor;5;gyenge;2,7
õszi búza;Foszfor;5;közepes;2,35
õszi búza;Foszfor;5;jó;1,8
õszi búza;Foszfor;5;igen jó;0,7
õszi búza;Foszfor;6;igen gyenge;2,8
õszi búza;Foszfor;6;gyenge;2,5
õszi búza;Foszfor;6;közepes;2,2
õszi búza;Foszfor;6;jó;1,6
õszi búza;Foszfor;6;igen jó;0,6
õszi búza;Kalium;1;igen gyenge;2,2
õszi búza;Kalium;1;gyenge;2
õszi búza;Kalium;1;közepes;1,7
õszi búza;Kalium;1;jó;1,2
õszi búza;Kalium;1;igen jó;0,5
õszi búza;Kalium;2;igen gyenge;2,6
õszi búza;Kalium;2;gyenge;2,2
õszi búza;Kalium;2;közepes;1,8
õszi búza;Kalium;2;jó;1,3
õszi búza;Kalium;2;igen jó;0,6
õszi búza;Kalium;3;igen gyenge;2,3
õszi búza;Kalium;3;gyenge;2
õszi búza;Kalium;3;közepes;1,6
õszi búza;Kalium;3;jó;1,1
õszi búza;Kalium;3;igen jó;0,4
õszi búza;Kalium;4;igen gyenge;2,7
õszi búza;Kalium;4;gyenge;2,5
õszi búza;Kalium;4;közepes;2,2
õszi búza;Kalium;4;jó;1,6
õszi búza;Kalium;4;igen jó;0,5
õszi búza;Kalium;5;igen gyenge;2,4
õszi búza;Kalium;5;gyenge;2,2
õszi búza;Kalium;5;közepes;1,9
õszi búza;Kalium;5;jó;1,4
õszi búza;Kalium;5;igen jó;0,5
õszi búza;Kalium;6;igen gyenge;2,4
õszi búza;Kalium;6;gyenge;2,2
õszi búza;Kalium;6;közepes;2
õszi búza;Kalium;6;jó;1,6
õszi búza;Kalium;6;igen jó;0,6
õszi árpa;Nitrogen;1;igen gyenge;3
õszi árpa;Nitrogen;1;gyenge;2,8
õszi árpa;Nitrogen;1;közepes;2,4
õszi árpa;Nitrogen;1;jó;1,5
õszi árpa;Nitrogen;1;igen jó;0,8
õszi árpa;Nitrogen;2;igen gyenge;3,2
õszi árpa;Nitrogen;2;gyenge;3
õszi árpa;Nitrogen;2;közepes;2,5
õszi árpa;Nitrogen;2;jó;1,8
