NOV;THK;KA_DIM;EVSZAK;N_ADAG;MEGOSZTAS
õszi búza;1;0;õsz;N%;70
õszi búza;1;0;õsz;Nmax kg/ha;100
õszi búza;1;0;tavasz;N%;30
õszi búza;1;0;õsz;P,K%;100
õszi búza;1;0;tavasz;P,K%;-
õszi búza;1;1;õsz;N%;80
õszi búza;1;1;õsz;Nmax kg/ha;100
õszi búza;1;1;tavasz;N%;20
õszi búza;1;1;õsz;P,K%;100
õszi búza;1;1;tavasz;P,K%;-
õszi búza;2;0;õsz;N%;60
õszi búza;2;0;õsz;Nmax kg/ha;90
õszi búza;2;0;tavasz;N%;40
õszi búza;2;0;õsz;P,K%;100
õszi búza;2;0;tavasz;P,K%;-
õszi búza;2;1;õsz;N%;70
õszi búza;2;1;õsz;Nmax kg/ha;90
õszi búza;2;1;tavasz;N%;30
õszi búza;2;1;õsz;P,K%;100
õszi búza;2;1;tavasz;P,K%;-
õszi búza;3;0;õsz;N%;75
õszi búza;3;0;õsz;Nmax kg/ha;100
õszi búza;3;0;tavasz;N%;25
õszi búza;3;0;õsz;P,K%;100
õszi búza;3;0;tavasz;P,K%;-
õszi búza;3;1;õsz;N%;75
õszi búza;3;1;õsz;Nmax kg/ha;100
õszi búza;3;1;tavasz;N%;25
õszi búza;3;1;õsz;P,K%;100
õszi búza;3;1;tavasz;P,K%;-
õszi búza;4;0;õsz;N%;40
õszi búza;4;0;õsz;Nmax kg/ha;80
õszi búza;4;0;tavasz;N%;60
õszi búza;4;0;õsz;P,K%;80
õszi búza;4;0;tavasz;P,K%;20
õszi búza;4;1;õsz;N%;50
õszi búza;4;1;õsz;Nmax kg/ha;80
õszi búza;4;1;tavasz;N%;50
õszi búza;4;1;õsz;P,K%;80
õszi búza;4;1;tavasz;P,K%;20
õszi búza;5;0;õsz;N%;75
õszi búza;5;0;õsz;Nmax kg/ha;90
õszi búza;5;0;tavasz;N%;25
õszi búza;5;0;õsz;P,K%;100
õszi búza;5;0;tavasz;P,K%;-
õszi búza;5;1;õsz;N%;75
õszi búza;5;1;õsz;Nmax kg/ha;90
õszi búza;5;1;tavasz;N%;25
õszi búza;5;1;õsz;P,K%;100
õszi búza;5;1;tavasz;P,K%;-
õszi búza;6;0;õsz;N%;50
õszi búza;6;0;õsz;Nmax kg/ha;70
